"Nhóm","ID","Nhãn","Kiểu","Đã lưu","Giá trị đang lưu","Giá trị mặc định"
"Chân trang","footer_social_fb","Link Facebook","text","Có","https://www.facebook.com/pharmacosmeticsvn","#"
"Chân trang","footer_social_insta","Link Instagram","text","Có","https://www.instagram.com/pharmacosmeticsvietnam?igsh=MXNidDVqZDRmNWtuZg%3D%3D&utm_source=qr","#"
"Chân trang","footer_social_shopee","Link Shopee","text","Có","","#"
"Chân trang","footer_social_lazada","Link Lazada","text","Có","","#"
"Chân trang","footer_social_tiktok","Link Tiktok","text","Có","","#"
"Chân trang","footer_social_whatsapp","Link WhatsApp","text","Có","https://wa.me/84967194063",""
"Chân trang","footer_payment_enable","hiển thị khối?","checkbox","Chưa","","true"
"Chân trang","footer_payment_title","Tiêu đề","text","Có","Hỗ trợ thanh toán","Hỗ trợ thanh toán"
"Chân trang","footer_payment_1_enable","Hiển thị thanh toán 1","checkbox","Có","true","true"
"Chân trang","footer_payment_1_alt","Alt thanh toán 1","text","Có","MoMo","Thanh toán 1"
"Chân trang","footer_payment_2_enable","Hiển thị thanh toán 2","checkbox","Có","true","true"
"Chân trang","footer_payment_2_alt","Alt thanh toán 2","text","Có","Zalo Pay","Thanh toán 2"
"Chân trang","footer_payment_3_enable","Hiển thị thanh toán 3","checkbox","Có","true","true"
"Chân trang","footer_payment_3_alt","Alt thanh toán 3","text","Có","VnPay","Thanh toán 3"
"Chân trang","footer_payment_4_enable","Hiển thị thanh toán 4","checkbox","Có","false","true"
"Chân trang","footer_payment_4_alt","Alt thanh toán 4","text","Có","Moca","Thanh toán 4"
"Chân trang","footer_payment_5_enable","Hiển thị thanh toán 5","checkbox","Chưa","","true"
"Chân trang","footer_payment_5_alt","Alt thanh toán 5","text","Có","Visa","Thanh toán 5"
"Chân trang","footer_policy_title","Tiêu đề","text","Có","Thông tin","Chính sách"
"Chân trang","footer_policy_menu","Chọn danh mục","link_list","Có","footer",""
"Chân trang","footer_support_title","Tiêu đề","text","Có","Chính sách & Dịch vụ","Hướng dẫn"
"Chân trang","footer_support_menu","Chọn danh mục","link_list","Có","footer-dich-vu",""
"Chân trang","footer_custom_title","Tiêu đề","text","Có","Danh mục sản phẩm","Hướng dẫn"
"Chân trang","footer_custom_menu","Chọn danh mục","link_list","Có","footer-categories",""
"Chân trang","footer_search_title","Tiêu đề","text","Có","Đăng ký nhận tin","Hỗ trợ"
"Chân trang","footer_support_1_enable","Hiển thị","checkbox","Chưa","","true"
"Chân trang","footer_support_1_title","Tiêu đề","text","Chưa","","Mua hàng trực tuyến"
"Chân trang","footer_support_1_hotline","Hotline","text","Có","0967194063","1800 6750"
"Chân trang","footer_support_1_hotline_sub","Text phụ hotline","text","Chưa","","(24/7)"
"Chân trang","footer_support_1_email","Email","text","Có","","sales.beanstyle@sapo.vn"
"Chân trang","footer_support_2_enable","Hiển thị","checkbox","Có","false","true"
"Chân trang","footer_support_2_title","Tiêu đề","text","Chưa","","Hotline góp ý"
"Chân trang","footer_support_2_hotline","Hotline","text","Có","0967194063","1900 6750"
"Chân trang","footer_support_2_hotline_sub","Text phụ hotline","text","Chưa","",""
"Chân trang","footer_support_2_email","Email","text","Có","","support@sapo.vn"
"Chân trang","footer_qr_enable","Hiển thị","checkbox","Chưa","","true"
"Chân trang","footer_app_title","Tiêu đề","text","Có","KẾT NỐI ZALO - NHẬN TRỌN QUYỀN LỢI: ✅ Deal Tết độc quyền | ✅ Tư vấn da 1:1 I  Tham gia tại:","Mua hàng qua App"
"Chân trang","footer_qr_alt","Alt ảnh","text","Có","","Zalo Mini App"
"Chân trang","footer_qr_hotline","Đường dẫn ảnh","text","Có","https://zalo.me/g/dutzwj461","https://apps.sapo.vn/aimini"
"Chân trang","footer_search_display","Hiển thị trên thiết bị","select","Có","all","all"
"Chân trang","footer_search_title_2","Tiêu đề","text","Có","TỪ KHÓA ĐƯỢC TÌM KIẾM NHIỀU NHẤT","Tra cứu hàng đầu"
"Chân trang","footer_search_menu","Nhập từ khóa","textarea","Có","Phục hồi da chuyên sâu; Trị mụn nội tiết; Trị nám cho da nhạy cảm; Kem chống nắng cho da treatment; Serum HA cấp nước; Peel da tại nhà; Trị thâm mụn ;","Cảm cúm;Omega 3;Thuốc nhỏ mắt;Dung dịch vệ sinh;Đau đầu;Nhức mỏi"
"Chân trang","footer_search_2_display","Hiển thị trên thiết bị","select","Có","none","none"
"Chân trang","footer_search_2_title","Tiêu đề","text","Có","Có thể bạn đang tìm kiếm","Có thể bạn đang tìm kiếm"
"Chân trang","footer_search_2_menu","Nhập từ khóa","textarea","Có","",""
"Chân trang","footer_copyright","Copyright","text","Có","© Bản quyền thuộc về <b>Pharma Cosmetics</b>",""
"Chân trang","footer_legal_company","Tên thương nhân / doanh nghiệp","text","Có","HỘ KINH DOANH PHARMA COSMETICS",""
"Chân trang","footer_legal_tax_code","Mã số thuế / Mã số doanh nghiệp","text","Có","01M8029625",""
"Chân trang","footer_legal_license_date","Ngày cấp ĐKKD","text","Có","07/05/2022",""
"Chân trang","footer_legal_license_issuer","Nơi cấp ĐKKD","text","Có","UBND Quận Hoàng Mai, Thành phố Hà Nội",""
"Chân trang","footer_legal_representative","Người đại diện pháp luật","text","Có","",""
"Chân trang","footer_legal_address","Địa chỉ trên giấy phép ĐKKD","text","Có","Số 897 Đường Giải Phóng, Phường Giáp Bát, Quận Hoàng Mai, Thành phố Hà Nội",""
"Chân trang","footer_legal_phone","Điện thoại đăng ký kinh doanh","text","Có","0965594399",""
"Chân trang","footer_legal_email","Email đăng ký kinh doanh","text","Có","pharmacosmeticsvn@gmail.com",""
"Chân trang","footer_bct_url","Link xác nhận đã thông báo Bộ Công Thương","text","Có","",""
"Chân trang","footer_menu1_enable","Bật footer menu 1","checkbox","Có","true",""
"Chân trang","footer_menu1_title","Tiêu đề footer menu 1","text","Có","Tài khoản",""
"Chân trang","footer_menu1","Chọn menu 1","link_list","Có","tai-khoan",""
"Chân trang","footer_menu2_enable","Bật footer menu 2","checkbox","Có","true",""
"Chân trang","footer_menu2_title","Tiêu đề footer menu 2","text","Có","Chính sách",""
"Chân trang","footer_menu2","Chọn menu 2","link_list","Có","chinh-sach",""
"Chân trang","footer_menu3_enable","Bật footer menu 3","checkbox","Có","true",""
"Chân trang","footer_menu3_title","Tiêu đề footer menu 3","text","Có","Điều khoản",""
"Chân trang","footer_menu3","Chọn menu 3","link_list","Có","dieu-khoan",""
"Chân trang","footer_menu4_enable","Bật footer menu 4","checkbox","Có","true",""
"Chân trang","footer_menu4_title","Tiêu đề footer menu 4","text","Có","Hướng dẫn",""
"Chân trang","footer_menu4","Chọn menu 4","link_list","Có","huong-dan",""
"Chân trang","footer_menu5_enable","Bật footer menu 5","checkbox","Có","true",""
"Chân trang","footer_menu5_title","Tiêu đề footer menu 5","text","Có","Menu main",""
"Chân trang","footer_menu5","Chọn menu 5","link_list","Có","main-menu",""
"Chân trang","product_viewed_eyebrow","Eyebrow sản phẩm đã xem","text","Có","Gần đây",""
"Chân trang","footer_cate_display","Hiển thị danh mục SEO","select","Có","desktop","none"
"Chân trang","footer_cate_title","Tiêu đề khối (để trống nếu không dùng)","text","Có","DANH MỤC SẢN PHẨM","DANH MỤC SẢN PHẨM"
"Chân trang","footer_cate_subtitle","Tiêu đề phụ (tùy chọn)","text","Có","",""
"Chân trang","footer_cate_group_1_title","Tiêu đề nhóm 1","text","Có","Tình trạng làn da","DANH MỤC ĐIỀU TRỊ"
"Chân trang","footer_cate_group_1_menu","Chọn menu nhóm 1","link_list","Có","tinh-trang-lan-da",""
"Chân trang","footer_cate_group_2_title","Tiêu đề nhóm 2","text","Có","Thành phần hoạt chất","HOẠT CHẤT"
"Chân trang","footer_cate_group_2_menu","Chọn menu nhóm 2","link_list","Có","thanh-phan-hoat-chat",""
"Chân trang","footer_cate_group_3_title","Tiêu đề nhóm 3","text","Có","Gel dưỡng","THƯƠNG HIỆU"
"Chân trang","footer_cate_group_3_menu","Chọn menu nhóm 3","link_list","Có","gel-duong",""
"Chân trang","footer_cate_group_4_title","Tiêu đề nhóm 4 (tùy chọn)","text","Có","Bước chăm sóc da",""
"Chân trang","footer_cate_group_4_menu","Chọn menu nhóm 4 (tùy chọn)","link_list","Có","buoc-cham-soc-da",""
"Chân trang","footer_brands_display","Hiển thị thương hiệu & loại SP","select","Có","all","all"
"Chân trang","footer_brands_title","Tiêu đề khối thương hiệu","text","Có","DƯỢC MỸ PHẨM NỔI BẬT","TOP THƯƠNG HIỆU NỔI BẬT"
"Chân trang","footer_brands_menu","Menu thương hiệu","link_list","Có","top-thuong-hieu",""
"Chân trang","footer_brands_viewall","Link ""Xem tất cả thương hiệu""","text","Có","",""
"Chân trang","footer_types_title","Tiêu đề khối loại sản phẩm","text","Có","GIẢI PHÁP ĐIỀU TRỊ BÁN CHẠY","MUA SẮM THEO LOẠI"
"Chân trang","footer_types_menu","Menu loại sản phẩm","link_list","Có","giai-phap-dieu-tri",""
"Chân trang","footer_types_viewall","Link ""Xem tất cả loại""","text","Có","",""
"SEO","product_wishlist_collection","URL sản phẩm yêu thích","text","Có","san-pham-ban-chay",""
"Liên hệ & Hỗ trợ","store_edit","Hiển thị thông tin tùy chỉnh, nếu không chọn sẽ lấy thông tin mặc định từ website.","checkbox","Có","true",""
"Liên hệ & Hỗ trợ","store_name","Tên cửa hàng","text","Có","Pharma Cosmetics","Bean Baby"
"Liên hệ & Hỗ trợ","store_address","Địa chỉ","textarea","Có","Phòng trị liệu da chuyên nghiệp 1:1 (Skin Health Beauty)

Địa chỉ: Số 44 Ngõ 897 Giải Phóng, Hoàng Mai, Hà Nội","70 Lữ Gia, Phường 15, Quận 11, Thành phố Hồ Chí Minh"
"Liên hệ & Hỗ trợ","store_phone","Điện thoại","text","Có","0967.194.063","1900 6750"
"Liên hệ & Hỗ trợ","store_email","Email","text","Có","support@pharmacosmetics-vn.com","support@sapo.vn"
"Liên hệ & Hỗ trợ","store_subname","Tên phụ cửa hàng","text","Có","CLINICAL DERMATOLOGY VIETNAM",""
"Liên hệ & Hỗ trợ","index_menu_title","Tiêu đề menu trang chủ","text","Có","1,2",""
"Liên hệ & Hỗ trợ","hover","Màu hover chung","text","Có","#1F5A3B",""
"Liên hệ & Hỗ trợ","tag_qt_1","Tag quy cách 1","text","Có","quatang_",""
"Liên hệ & Hỗ trợ","contact_us_enable","Hiển thị nút?","checkbox","Có","true",""
"Liên hệ & Hỗ trợ","contact_us_color","Chọn màu chính cho nút hỗ trợ","color","Có","#3cb371","#bf1e2e"
"Liên hệ & Hỗ trợ","contact_zalo_enable","Dùng?","checkbox","Có","true",""
"Liên hệ & Hỗ trợ","contact_zalo","Nhập số tài khoản Zalo chat. Ví dụ: 0123 456 789","text","Có","0967194063",""
"Liên hệ & Hỗ trợ","contact_map_enable","Dùng?","checkbox","Có","false",""
"Liên hệ & Hỗ trợ","popup_banner_enable","Hiển thị","checkbox","Có","false",""
"Liên hệ & Hỗ trợ","popup_banner.jpg","Chọn ảnh","image","Chưa","",""
"Liên hệ & Hỗ trợ","popup_banner_width","Chiều rộng hình ảnh","text","Có","400","400"
"Liên hệ & Hỗ trợ","popup_banner_height","Chiều cao cao hình ảnh","text","Có","400","400"
"Liên hệ & Hỗ trợ","popup_banner_url","Liên kết ảnh","text","Có","https://pharmacosmetics-vn.com/","#"
"Liên hệ & Hỗ trợ","popup_banner_alt","Nhập ALT ảnh","text","Có","Chương trình khuyến mãi","Banner promotion"
"Liên hệ & Hỗ trợ","popup_banner_delay_time","Thời gian hiển thị sau khi load trang. Tính bằng mili giây. 1000 = 1 giây","text","Có","5000","5000"
"Liên hệ & Hỗ trợ","bg_dat_lich_tu_van.jpg","Ảnh nền","image","Chưa","",""
"Liên hệ & Hỗ trợ","btn_3_action","Hiển thị bộ nút?","checkbox","Chưa","","true"
"Liên hệ & Hỗ trợ","btnaction_1","Hiển thị bộ nút?","checkbox","Chưa","","true"
"Liên hệ & Hỗ trợ","btnaction_1_title","Tiêu đề","text","Chưa","","Gọi tư vấn ngay"
"Liên hệ & Hỗ trợ","btnaction_1_url","Đường dẫn","text","Có","0965594399","tel:18006750"
"Liên hệ & Hỗ trợ","btnaction_2","Hiển thị bộ nút?","checkbox","Chưa","","true"
"Liên hệ & Hỗ trợ","btnaction_2_title","Tiêu đề","text","Chưa","","Đặt lịch tư vấn"
"Liên hệ & Hỗ trợ","btnaction_2_url","Đường dẫn","text","Có","https://zalo.me/0965594399","/dat-lich-tu-van"
"Liên hệ & Hỗ trợ","btnaction_3","Hiển thị bộ nút?","checkbox","Chưa","","true"
"Liên hệ & Hỗ trợ","btnaction_3_title","Tiêu đề","text","Có","Tiếp thị liên kết ","Mua thuốc theo đơn"
"Liên hệ & Hỗ trợ","btnaction_3_url","Đường dẫn","text","Có","https://pharmacosmetics-vn.com/apps/affiliate-v2","/mua-thuoc-theo-don"
"Liên hệ & Hỗ trợ","title_dat_lich_tu_van","Tiêu đề trên banner","text","Có","Đặt lịch tư vấn sản phẩm","Đặt lịch tư vấn sức khỏe"
"Liên hệ & Hỗ trợ","title_dat_lich_form","Tiêu đề form","text","Chưa","","Thông tin khách hàng"
"Liên hệ & Hỗ trợ","content_dat_lich_form","Nội dung form","textarea","Có","Để lại thông tin để các tư vấn viên có thể liên hệ giúp bạn giải quyết vấn đề về sản phẩm và chăm sóc da","Để lại thông tin để các tư vấn viên có thể liên hệ giúp bạn giải quyết vấn đề sức khỏe"
"Liên hệ & Hỗ trợ","dat_lich_hotline","Số hotline đặt lịch","text","Có","0965594399","0965594399"
"Liên hệ & Hỗ trợ","list_room_booking","Danh sách chi nhánh","textarea","Có","Cơ sở Hoàng Mai (Số 44 Ngõ 897 Giải Phóng, Hoàng Mai, Hà Nội);","Chi nhánh Quận 11;Chi nhánh Bình Dương;Chi nhánh Quận 1;Chi nhánh Hà Nội;Chi nhánh Đà Nẵng"
"Liên hệ & Hỗ trợ","free_consultation_svc_handle","Handle sản phẩm ""Tư vấn miễn phí"" (Sapo)","text","Có","",""
"Liên hệ & Hỗ trợ","title_mua_theo_don","Tiêu đề trên banner","text","Chưa","","Mua thuốc theo đơn"
"Liên hệ & Hỗ trợ","khao_sat_form","Đường dẫn form app biểu mẫu form mua thuốc","textarea","Có","<div data-app=""bizweb_form"" data-form-id=""9247""></div>",""
"Liên hệ & Hỗ trợ","title_contact_2","Tiêu đề form liên hệ","text","Có","Liên hệ với chúng tôi",""
"Liên hệ & Hỗ trợ","footer_desc","Nội dung mô tả","textarea","Có","Bạn cần tư vấn sản phẩm và chăm sóc da, mua hoặc tìm hiểu thêm về sản phẩm? Đội ngũ chuyên gia tận tâm của <b>Pharma Cosmetics</b> luôn sẵn sàng hỗ trợ bạn!",""
"Liên hệ & Hỗ trợ","contact_button_stores_enable","Hiển thị nút hệ thống cửa hàng","checkbox","Có","false",""
"Liên hệ & Hỗ trợ","contact_button_stores_url","Nhập liên kết nút","text","Có","/he-thong-cua-hang","#"
"Liên hệ & Hỗ trợ","contactr_contact_maps","Iframe maps","textarea","Có","https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d2795.115583718287!2d105.84066709528143!3d20.97930156055316!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x3135ac449fd325f3%3A0x88be5085efc7b27c!2zNDQgTmcuIDg5NyDEkC4gR2nhuqNpIFBow7NuZywgR2nDoXAgTmjhu4ssIEhvw6BuZyBNYWksIEjDoCBO4buZaSAxMDAwMDAsIFZp4buHdCBOYW0!5e0!3m2!1svi!2s!4v1781881967182!5m2!1svi!2s"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade",""
"Liên hệ & Hỗ trợ","thong_ke_title","Tiêu đề","text","Chưa","","Tổng quan tiện ích"
"Liên hệ & Hỗ trợ","thong_ke1.png","Chọn ảnh","image","Chưa","",""
"Liên hệ & Hỗ trợ","thong_ke_num_1","Số liệu","text","Có","","12"
"Liên hệ & Hỗ trợ","thong_ke_title_1","Tiêu đề","text","Có","","Cửa hàng"
"Liên hệ & Hỗ trợ","thong_ke2.png","Chọn ảnh","image","Chưa","",""
"Liên hệ & Hỗ trợ","thong_ke_num_2","Số liệu","text","Có","5000+","200"
"Liên hệ & Hỗ trợ","thong_ke_title_2","Tiêu đề","text","Có","khách được phục vụ mỗi ngày","Nhân viên"
"Liên hệ & Hỗ trợ","thong_ke3.png","Chọn ảnh","image","Chưa","",""
"Liên hệ & Hỗ trợ","thong_ke_num_3","Số liệu","text","Có","6h30 - 21h30","5000"
"Liên hệ & Hỗ trợ","thong_ke_title_3","Tiêu đề","text","Có","(cả chủ nhật & ngày lễ)","Khách hàng"
"Liên hệ & Hỗ trợ","thong_ke4.png","Chọn ảnh","image","Chưa","",""
"Liên hệ & Hỗ trợ","thong_ke_num_4","Số liệu","text","Có","Chuyên gia","50"
"Liên hệ & Hỗ trợ","thong_ke_title_4","Tiêu đề","text","Có","Có chuyên môn tư vấn tận tình","Món ăn"
"Liên hệ & Hỗ trợ","thong_ke5.png","Chọn ảnh","image","Chưa","",""
"Liên hệ & Hỗ trợ","thong_ke_num_5","Số liệu","text","Có","100%","50"
"Liên hệ & Hỗ trợ","thong_ke_title_5","Tiêu đề","text","Có","Thuốc chính hãng, chất lượng","Món ăn"
"Liên hệ & Hỗ trợ","thong_ke6.png","Chọn ảnh","image","Chưa","",""
"Liên hệ & Hỗ trợ","thong_ke_num_6","Số liệu","text","Có","Nhân viên","50"
"Liên hệ & Hỗ trợ","thong_ke_title_6","Tiêu đề","text","Có","thân thiện, chu đáo, nhiệt tình","Món ăn"
"Liên hệ & Hỗ trợ","store_default_iframe","Nhập iframe hiển thị mặc định khi vào trang","textarea","Có","",""
"Liên hệ & Hỗ trợ","store_title_1_name","Tiêu đề","textarea","Có","","Hệ thống <span>8</span> Nhà Bean Pharmacity"
"Liên hệ & Hỗ trợ","store_title_2_name","Nội dung","textarea","Có","","Mở cửa <b>6h30 - 21h30</b> (cả chủ nhật và ngày lễ)"
"Liên hệ & Hỗ trợ","google","Link Google Spreed","textarea","Có","","https://docs.google.com/spreadsheets/d/e/2PACX-1vS1LoAHgEjaeeulTh0yiBZbhQMyp-kb_BxqFbnDVI7n22uMZGYpGs8gD2O6QcqP2B8YTUbCsOQbqQn8/pub?output=csv"
"Liên hệ & Hỗ trợ","province_default","Tỉnh thành mặc định","textarea","Có","","Hà Nội;Hồ Chí Minh;Đà Nẵng;Bình Dương;Cần Thơ"
"Liên hệ & Hỗ trợ","about_box_1_enb","Hiển thị khối?","checkbox","Có","false","true"
"Liên hệ & Hỗ trợ","about1_img.jpg","Ảnh nền","image","Chưa","",""
"Liên hệ & Hỗ trợ","about1_title","Tiêu đề","textarea","Có","Hệ thống gần <span style=""color:var(--subColor)"">8</span> nhà thuốc đạt chuẩn GPP trên toàn quốc",""
"Liên hệ & Hỗ trợ","about1_content","Nội dung","textarea","Có","Đội ngũ gần 100+ Chuyên gia, Bean Pharmacity mang đến dịch vụ chăm sóc sức khỏe tận tâm và trải nghiệm mua sắm tiện lợi cho mọi khách hàng.",""
"Liên hệ & Hỗ trợ","about1_btn","Tiêu đề nút","text","Có","Bắt đầu ngay bây giờ",""
"Liên hệ & Hỗ trợ","about1_url","Đường dẫn nút","text","Có","/collections/all",""
"Liên hệ & Hỗ trợ","about_box_2_enb","Hiển thị khối?","checkbox","Có","false","true"
"Liên hệ & Hỗ trợ","about2_title","Tiêu đề","text","Có","Tại sao chọn chúng tôi",""
"Liên hệ & Hỗ trợ","about2_icon_1.png","Icon","image","Chưa","",""
"Liên hệ & Hỗ trợ","about2_title_1","Tiêu đề","text","Có","E-Pharmacy",""
"Liên hệ & Hỗ trợ","about2_content_1","Nội dung","textarea","Có","Đặt mua thuốc và các sản phẩm sức khỏe trực tuyến tại nhà từ các hiệu thuốc được cấp phép",""
"Liên hệ & Hỗ trợ","about2_icon_2.png","Icon","image","Chưa","",""
"Liên hệ & Hỗ trợ","about2_title_2","Tiêu đề","text","Có","Tư vấn trực tuyến",""
"Liên hệ & Hỗ trợ","about2_content_2","Nội dung","textarea","Chưa","",""
"Liên hệ & Hỗ trợ","about2_icon_3.png","Icon","image","Chưa","",""
"Liên hệ & Hỗ trợ","about2_title_3","Tiêu đề","text","Có","Đăng ký xét nghiệm nhanh",""
"Liên hệ & Hỗ trợ","about2_content_3","Nội dung","textarea","Có","Dễ dàng đăng ký các gói xét nghiệm trực tuyến ngay tại nhà thuốc, kèm dịch vụ lấy mẫu tại nhà tiện lợi",""
"Liên hệ & Hỗ trợ","about2_icon_4.png","Icon","image","Chưa","",""
"Liên hệ & Hỗ trợ","about2_title_4","Tiêu đề","text","Có","Thông tin xác thực",""
"Liên hệ & Hỗ trợ","about2_content_4","Nội dung","textarea","Có","Đọc nội dung y học và sức khỏe được viết bởi các chuyên gia y tế có trình độ",""
"Liên hệ & Hỗ trợ","about_box_3_enb","Hiển thị khối?","checkbox","Có","false","true"
"Liên hệ & Hỗ trợ","about3_bg.jpg","Ảnh nền","image","Chưa","",""
"Liên hệ & Hỗ trợ","about3_img.jpg","Ảnh","image","Chưa","",""
"Liên hệ & Hỗ trợ","about3_content","Nội dung","textarea","Có","Bean Pharmacity cam kết cung cấp sản phẩm chính hãng, đa dạng từ thuốc cho các nhóm bệnh: Tiểu Đường, Huyết Áp, Mỡ Máu, Tiêu Hóa, Hô Hấp,… đến thực phẩm chức năng, sản phẩm chăm sóc sức khỏe, sắc đẹp, thiết bị y tế thuộc các thương hiệu hàng đầu thế giới như: Abbott, GSK, Sanofi, Astrazeneca, Pfizer, Mega Lifesciences, Goodlife, L’oreal, Durex,… và các thương hiệu uy tín tại Việt Nam như Dược Hậu Giang, Nam Hà,… Bên cạnh đó, chúng tôi luôn chú trọng bảo quản sản phẩm trong điều kiện tốt nhất, đảm bảo chất lượng đến tay người tiêu dùng.",""
"Liên hệ & Hỗ trợ","about_box_4_enb","Hiển thị khối?","checkbox","Có","false","true"
"Liên hệ & Hỗ trợ","about4_title","Tiêu đề","text","Có","Về chúng tôi",""
"Liên hệ & Hỗ trợ","about4_enb_1","Hiển thị?","checkbox","Có","false","true"
"Liên hệ & Hỗ trợ","about4_icon_1.jpg","Ảnh","image","Chưa","",""
"Liên hệ & Hỗ trợ","about4_title_1","Tiêu đề","text","Có","Ý tưởng",""
"Liên hệ & Hỗ trợ","about4_content_1","Nội dung","textarea","Có","Trong lĩnh vực chăm sóc sức khỏe, thông tin xung quanh các loại thuốc và xét nghiệm trong phòng thí nghiệm của chúng tôi hoặc không có sẵn hoặc không thể hiểu được đối với chúng tôi.<br>
Vì vậy, chúng tôi quyết định tạo ra một nền tảng đại diện cho thông tin minh bạch, xác thực và có thể truy cập được cho tất cả mọi người.<br>
Ý tưởng này đã phát triển thành một công ty và Bean Pharmacity được thành lập vào năm 2025.",""
"Liên hệ & Hỗ trợ","about4_enb_2","Hiển thị?","checkbox","Có","false","true"
"Liên hệ & Hỗ trợ","about4_icon_2.jpg","Ảnh","image","Chưa","",""
"Liên hệ & Hỗ trợ","about4_title_2","Tiêu đề","text","Có","What we offer",""
"Liên hệ & Hỗ trợ","about4_content_2","Nội dung","textarea","Có","Chúng tôi cung cấp thông tin chính xác, có thẩm quyền và đáng tin cậy về các loại thuốc và giúp mọi người sử dụng thuốc một cách hiệu quả và an toàn.
								<br>
								Chúng tôi nhận thuốc và các sản phẩm sức khỏe khác được giao tận nhà ở hơn 1000 thành phố trên khắp Việt Nam từ các hiệu thuốc được cấp phép và xác minh.
								<br>
								Chúng tôi cũng cung cấp dịch vụ chẩn đoán từ các phòng thí nghiệm được chứng nhận và tư vấn chuyên gia trực tuyến bất cứ lúc nào, từ bất cứ đâu.",""
"Liên hệ & Hỗ trợ","about4_enb_3","Hiển thị?","checkbox","Chưa","","true"
"Liên hệ & Hỗ trợ","about4_icon_3.jpg","Ảnh","image","Chưa","",""
"Liên hệ & Hỗ trợ","about4_title_3","Tiêu đề","text","Có","Hành trình cho đến nay",""
"Liên hệ & Hỗ trợ","about4_content_3","Nội dung","textarea","Có","Chúng tôi đã giúp hàng triệu người có thể tiếp cận dịch vụ chăm sóc sức khỏe bằng cách cung cấp cho họ dịch vụ chăm sóc chất lượng với giá cả phải chăng.
								<br>
								Chúng tôi tiếp tục mở rộng nội dung y tế phong phú và sâu rộng của mình và đang nỗ lực cung cấp thông tin này bằng nhiều ngôn ngữ địa phương.",""
"Liên hệ & Hỗ trợ","about_box_5_enb","Hiển thị khối?","checkbox","Chưa","","true"
"Liên hệ & Hỗ trợ","about5_title","Tiêu đề","text","Có","Đội ngũ chuyên môn",""
"Liên hệ & Hỗ trợ","about5_content","Nội dung","textarea","Có","Đội ngũ chuyên gia giàu kinh nghiệm có thâm niên trong ngành, được tu nghiệp cả trong và ngoài nước.",""
"Liên hệ & Hỗ trợ","about5_blog","Danh mục blog","blog","Có","doi-ngu-duoc-si",""
"Liên hệ & Hỗ trợ","about5_limit","Giới hạn","text","Có","4",""
"Trang Về chúng tôi","about_hero_bg_img","Ảnh nền Hero","image","Chưa","",""
"Trang Về chúng tôi","about_hero_badge","Badge nhỏ","text","Có","Từ Pharma Cosmetics đến SKIN HEALTH BEAUTY","Từ Pharma Cosmetics đến SKIN HEALTH BEAUTY"
"Trang Về chúng tôi","about_hero_title","Tiêu đề Hero (H1)","text","Có","10 năm đồng hành — Da khoẻ từ gốc","Hơn Một Thập Kỷ Kiến Tạo Vẻ Đẹp Từ Nền Tảng Khoa Học"
"Trang Về chúng tôi","about_hero_desc","Mô tả Hero","textarea","Có","400+ thương hiệu nhập khẩu chính ngạch. Phòng trị liệu da ngay tại cửa hàng.","Hơn 400 thương hiệu dược mỹ phẩm nhập khẩu chính ngạch — kết hợp hoàn hảo cùng Phòng trị liệu da SKIN HEALTH BEAUTY, tạo nên hệ sinh thái chăm sóc da toàn diện và chặt chẽ nhất."
"Trang Về chúng tôi","about_hero_btn1_text","Nút CTA 1 — Văn bản","text","Có","Đặt lịch tư vấn & soi da miễn phí","Đặt lịch tư vấn & soi da miễn phí"
"Trang Về chúng tôi","about_hero_btn1_url","Nút CTA 1 — Link","text","Có","https://zalo.me/0967194063","/dat-lich-tu-van"
"Trang Về chúng tôi","about_hero_btn2_text","Nút CTA 2 — Văn bản","text","Có","",""
"Trang Về chúng tôi","about_hero_btn2_url","Nút CTA 2 — Link","text","Có","",""
"Trang Về chúng tôi","about_stat_1_target","Số 1 — Giá trị","text","Có","10","10"
"Trang Về chúng tôi","about_stat_1_suffix","Số 1 — Suffix","text","Có","'+","'+"
"Trang Về chúng tôi","about_stat_1_label","Số 1 — Nhãn","text","Có","năm kinh nghiệm","Năm Kinh nghiệm"
"Trang Về chúng tôi","about_stat_2_target","Số 2 — Giá trị","text","Có","400","400"
"Trang Về chúng tôi","about_stat_2_suffix","Số 2 — Suffix","text","Có","'+","'+"
"Trang Về chúng tôi","about_stat_2_label","Số 2 — Nhãn","text","Có","thương hiệu toàn cầu","Thương hiệu Toàn cầu"
"Trang Về chúng tôi","about_stat_3_target","Số 3 — Giá trị","text","Có","100","100"
"Trang Về chúng tôi","about_stat_3_suffix","Số 3 — Suffix","text","Có","%","%"
"Trang Về chúng tôi","about_stat_3_label","Số 3 — Nhãn","text","Có","nhập khẩu chính ngạch","Nhập khẩu Chính ngạch"
"Trang Về chúng tôi","about_stat_4_target","Số 4 — Giá trị","text","Có","1","1"
"Trang Về chúng tôi","about_stat_4_suffix","Số 4 — Suffix","text","Có",":1",":1"
"Trang Về chúng tôi","about_stat_4_label","Số 4 — Nhãn","text","Có","tư vấn mỗi khách","Tư vấn Cá nhân hóa"
